"initial","final","env1","env2","interval","prevalence1"
1,0,-0.94697698672652,0.0700267187536203,3,0.546
1,0,-0.866183074138193,-2.03022117516877,5,0.342
1,0,-0.855007132353664,-1.4313217456983,5,0.298
0,1,-1.02902478408724,0.448951239295364,10,0.638
0,1,-0.89387761683852,0.350869236891316,11,0.532
0,1,-0.752897149389476,-0.981437577115023,6,0.322
0,1,-0.956135813683016,0.302301300009545,8,0.6
1,0,-1.11826880156039,-0.383957340605374,11,0.68
1,0,-1.48259685287961,0.0552941442078585,8,0.696
1,0,-1.00258413330812,-0.185743390409381,5,0.724
1,0,-1.09929695695577,-0.40761055661924,11,0.744
1,0,-0.589401236400862,-0.431894525060095,11,0.448
1,0,-0.922607981830518,-0.187162583370235,5,0.54
1,0,-0.756478483796481,-1.19210888774497,5,0.494
0,1,-1.10960063224517,-0.649346424280688,9,0.288
0,1,-0.4890483744659,0.461081093661447,5,0.518
0,1,-1.26377416516154,-0.579648281093232,12,0.518
0,1,-1.25772280284606,-0.216334883120632,14,0.5
0,1,-0.619569995372899,-1.46937309884466,10,0.318
0,1,-1.004127375605,0.284434024528312,5,0.464
1,0,-0.840287590933974,-1.24919198239171,10,0.38
1,0,-0.566286100029983,0.459516342448197,5,0.362
1,0,-1.07661796276845,-0.5755483903175,11,0.338
0,1,-0.321723694564934,0.441539898277702,5,0.238
0,1,-0.849555446206325,-0.123771964453117,8,0.338
0,1,-0.858714275762386,0.509188096077265,11,0.602
0,1,-1.58362429046463,-0.468793542041688,13,0.456
1,0,-1.04428949763108,-0.778019919395985,7,0.65
1,0,-1.22043330371917,-0.371657668278177,10,0.64
1,0,-1.15076082509388,0.0980952017567192,11,0.762
1,0,-0.916284019764634,0.164954959022496,13,0.522
1,0,-0.926042525854402,-0.863013808939055,7,0.35
1,0,-0.700833587495546,-1.92788159388221,5,0.074
1,0,-1.03573035630676,-0.694760599027262,7,0.564
1,0,-0.828620987933771,-1.13612960984555,5,0.24
1,0,-0.744501558337632,-0.638781321127836,9,0.446
0,1,-0.851681607547159,-0.958257425421459,7,0.298
0,1,-0.69397616053506,-0.189404007173455,14,0.454
0,1,-1.03878329472625,0.0973067612229327,5,0.678
0,1,-0.99784117215696,-0.270421903738935,11,0.62
1,0,-1.35252753642744,1.63744649993754,13,0.758
1,0,-1.0230279375138,-0.800411630555756,7,0.56
0,1,-1.09755241649177,-0.463589834518642,10,0.5
0,1,-1.05126764583936,-0.576652207064813,7,0.638
0,1,-0.849057017121901,-0.22836423297909,5,0.766
1,0,-0.798473202844395,-1.40088794109382,5,0.48
1,0,-0.241202374862537,0.516126372774674,5,0.59
0,1,-0.585366991147412,-0.860648487337673,14,0.278
0,1,-0.769579294078835,-0.684510872087931,11,0.512
0,1,-0.889407236225362,-0.652657874522624,11,0.424
1,0,-0.891642425882049,-0.342485368527773,5,0.668
0,1,-0.487182208223654,-0.339016230179092,5,0.67
1,0,-1.09978760484867,-0.417702595451804,10,0.696
1,0,-0.511169617913515,0.0757034905969414,5,0.712
0,1,-0.512629892381318,-0.0957034814500392,5,0.662
1,0,-0.87414253113011,-0.0638504838847247,6,0.838
1,0,-0.869181495800189,0.308293448066401,6,0.422
1,0,-0.901673522258183,-0.13591394867357,5,0.606
1,0,-0.876751548866922,-0.288736250995374,5,0.758
1,0,-0.878013219612177,-0.13481013192625,8,0.478
0,1,-1.16024674967081,-0.16209017439554,10,0.608
1,0,-0.783998989618663,0.180205651633352,14,0.468
0,1,-1.21945200379029,-0.293286679218989,9,0.508
0,1,-0.815793968043665,-0.0884836188477218,14,0.594
1,0,-0.992553043430894,-0.00361362710280021,5,0.522
0,1,-1.16766103453858,-0.49213138184201,10,0.604
0,1,-1.12066754376417,0.206742307313625,11,0.684
0,1,-1.47475422014816,1.74640898170795,5,0.928
0,1,-1.13685903633633,0.268398357056379,5,0.874
0,1,-1.13211607421034,0.134205778204526,11,0.69
0,1,-0.981704201541419,-0.601251551719208,14,0.444
1,0,-1.1022408599106,-0.445298014134613,14,0.492
1,0,-0.977506404715716,-0.414548833316609,9,0.658
1,0,-1.26039412554722,1.22493441265612,14,0.718
0,1,-0.676628125073324,-1.34427791076736,5,0.146
1,0,-0.787515321390953,-1.47462532578517,10,0.362
1,0,-1.28737994684607,-0.373076861239007,7,0.68
0,1,-1.5304158833654,1.39744520145042,11,0.67
0,1,-1.26753582784608,-0.369923099103829,10,0.274
1,0,-1.67265024141555,0.0909992369525666,12,0.762
0,1,-0.475188508577853,-0.300382644023142,5,0.47
1,0,-0.895458606705099,-0.872948159664869,7,0.434
1,0,-1.18281670449413,0.712290377582794,10,0.714
0,1,-0.687586003727236,-0.0983841792649334,5,0.502
1,0,-0.752624569501368,0.463773921330713,5,0.444
1,0,-0.555600818161345,-0.431894525060095,11,0.462
1,0,-0.835708180705181,0.504142076660987,3,0.49
1,0,-0.840887277865937,-0.236676648892537,5,0.744
1,0,-0.582913727961851,-1.30154443383568,5,0.226
1,0,-1.0301696398939,0.427032592455886,6,0.498
1,0,-0.913558188389002,-0.320093657368026,5,0.272
1,0,-0.935773783406631,0.2256986704333,5,0.532
1,0,-0.734634013533755,0.794130504990686,5,0.37
0,1,-0.761728866702555,-1.34585479183495,5,0.418
1,0,-0.407696713412492,0.0578847345331883,6,0.17
1,0,-0.560943459095664,-1.49707768621677,5,0.34
0,1,-1.1373496874787,-0.670949694906661,9,0.448
0,1,-1.13053509051772,-1.54785325659315,5,0.51
0,1,-1.67695706816152,-0.0113403443339965,12,0.602
1,0,-1.26851713097364,-0.835891454576518,15,0.17
0,1,-1.32074423460006,-1.05996625428098,14,0.44
0,1,-0.930512918865481,-1.69542506481079,10,0.478
0,1,-0.825677089528176,0.590555159164903,9,0.592
0,1,-0.959570368105157,0.218884291534079,10,0.606
1,0,-1.13260672860216,-0.676626466749982,7,0.73
0,1,-1.17632920588472,-0.407768244725976,11,0.606
0,1,-1.09967857019638,-1.61865521652792,9,0.414
0,1,-1.26797196149983,-1.24856122996468,10,0.202
0,1,-1.24109517479234,-0.376072935267435,10,0.47
1,0,-0.752515528187694,0.298359097340564,3,0.688
0,1,-0.805342316887803,0.35528450388055,7,0.51
1,0,-0.528833062937927,0.862567143324083,5,0.178
0,1,-1.08146996068405,0.283694103411981,9,0.87
0,1,-1.52997974909222,0.353234558492677,10,0.698
0,1,-1.28759801508443,-0.862383056512021,11,0.5
0,1,-1.25892217021108,-0.223588536031528,12,0.656
0,1,-1.32837658899582,-0.74427466454957,6,0.316
1,0,-1.06037195018935,-0.785588948520417,7,0.636
0,1,-0.797550615413136,-1.37228574449862,5,0.824
1,0,-0.840887281765283,-0.119672073677391,8,0.74
1,0,-1.04145462234221,-0.769977825951278,7,0.686
1,0,-1.15637605306511,-0.225165417099125,8,0.666
0,1,-0.467883268273209,-0.757047401197045,7,0.168
1,0,-1.1581751060623,-0.213654185305739,11,0.69
1,0,-1.17714695911552,-0.527453517756022,8,0.772
0,1,-0.962786864595808,0.0848494007889444,6,0.65
0,1,-0.658037893871786,0.350711548784525,6,0.362
1,0,-1.14160199748749,-0.607716764096324,7,0.746
0,1,-1.08446838234604,-0.0271091550098745,13,0.764
1,0,-1.0695307768209,-0.38301121196482,9,0.75
0,1,-0.973308609189794,-0.432998341807422,11,0.516
0,1,-0.963441063086134,-1.83863012545665,5,0.472
0,1,-0.926369634198039,0.234180037889681,11,0.706
1,0,-0.526270768836949,0.103456597386508,5,0.648
1,0,-1.0230279375138,-0.866798323501272,7,0.53
0,1,-0.634541155795855,-0.0898690214999506,9,0.318
0,1,-1.26595483919805,1.0801767306514,10,0.68
1,0,-1.15130599071911,-0.222011654963954,10,0.686
0,1,-1.22899244203774,-0.611185902445022,9,0.442
1,0,-1.33137501274965,0.375310893438944,14,0.446
1,0,-1.72253312234757,-0.692710653639397,10,0.404
1,0,-1.24098614014005,0.0102629262919711,10,0.604
0,1,-1.08386869453208,-1.57324104178134,5,0.796
0,1,-0.579479176139276,-0.174232158615994,15,0.21
0,1,-0.978760288838222,-0.209081230209712,3,0.748
0,1,-1.12666439196235,-0.129133360082929,11,0.798
1,0,-1.07252920335708,-0.614181976473443,7,0.56
0,1,-1.17856439513522,-0.254810781169822,14,0.758
0,1,-0.648115847907802,0.423090389786906,4,0.386
0,1,-0.489035788376599,-0.021747759380086,6,0.244
1,0,-0.959897469949884,-0.23856890617362,7,0.574
1,0,-0.879430659206284,-0.66085765607409,5,0.318
0,1,-0.974126362501829,0.175993126495631,5,0.734
0,1,-0.593053865651658,-0.131656369791078,15,0.4
1,0,-0.802889061500935,-0.230053748408661,5,0.556
0,1,-0.407556527278975,0.581927367037924,5,0.522
1,0,-0.863838850966523,0.221880365562484,5,0.626
0,1,-1.33181114561134,-0.617808802928898,15,0.298
1,0,-0.997841168257613,-0.667165180344448,7,0.416
0,1,-0.956899045688324,-0.0834038091228419,5,0.648
0,1,-1.59430958403131,0.581566937079644,11,0.616
1,0,-0.864602089470742,-0.878624931508193,7,0.258
1,0,-1.17791019247138,0.181827586445719,12,0.818
1,0,-0.763200826953499,0.706298229525961,11,0.548
0,1,-1.14340105503393,-0.196939245989282,10,0.518
0,1,-0.589183174570026,0.0586731750669758,3,0.502
0,1,-0.97712478741328,-0.0969649863041031,11,0.544
1,0,-0.509097978529299,0.182142962659229,5,0.596
1,0,-0.91284946924184,-1.99789511328318,5,0.344
1,0,-1.33600894257921,-0.555679688865872,12,0.412
0,1,-1.29948267907264,-0.430159955885754,13,0.524
0,1,-1.02891574862259,-0.434890599088523,9,0.75
0,1,-0.860840426704964,-1.32614377849008,5,0.31
0,1,-1.17049590885262,0.00695147605003303,11,0.788
1,0,-0.989772685549408,-0.598886230117824,6,0.378
0,1,-1.1474352983377,-0.392157122156848,9,0.618
1,0,-0.985247790778322,0.834183284107473,5,0.52
0,1,-1.06767720479159,-0.880832565002818,7,0.564
1,0,-0.729836534975216,-1.21670823239937,5,0.224
0,1,-0.883955566975189,0.421828884932842,7,0.628
0,1,-0.978487707650333,-1.8791559688937,5,0.544
1,0,-0.957934864080649,-0.0140210421488897,7,0.482
0,1,-1.47344581764344,-0.752159069887519,12,0.234
0,1,-1.13947584232062,-0.227215362487,10,0.624
1,0,-0.955808711188399,-0.395310884292019,11,0.692
0,1,-0.705794624125249,0.0933645585539272,5,0.584
0,1,-1.04352625587741,-0.292971303005479,11,0.606
0,1,-0.711791476547714,0.0347045828396229,10,0.652
1,0,-1.038347162616,0.351973053638613,10,0.544
1,0,-1.41756608842185,1.69579109943836,14,0.8
0,1,-0.87457866648982,-0.604563001961146,11,0.67
0,1,-1.12028592613679,-0.161774798182029,12,0.694
1,0,-1.22255946042953,-0.454601612433389,6,0.64
0,1,-0.961096849012939,-0.0534430688386352,5,0.564
0,1,-0.656928083623675,-0.126903199715901,5,0.454
1,0,-1.24245809641041,-0.74758611479151,11,0.372
1,0,-0.988355243355736,-0.817599634192481,7,0.472
0,1,-1.47344581764344,-0.752159069887519,12,0.234
0,1,-0.788399272058775,0.0326433740155573,14,0.468
1,0,-1.08801197158295,-0.668426685198519,7,0.646
0,1,-0.953246419686984,-1.6367893488052,5,0.674
0,1,-1.21252836527194,-0.278306309076897,12,0.76
0,1,-0.96409526807537,-1.14133331736859,8,0.384
1,0,-0.938635916331514,-0.233365198650598,9,0.582
0,1,-1.98924103444038,-0.739881924432715,13,0.272
1,0,-0.614588001757701,-0.273575665874106,7,0.302
1,0,-1.24049549045994,-0.467216660974104,10,0.814
0,1,-1.0680588240437,-1.53839197018762,5,0.44
0,1,-1.32423330963842,-0.363930951047004,12,0.478
0,1,-0.955645160266035,0.00553228308920274,5,0.748
1,0,-1.61001042489245,-1.5257769216469,9,0.052
1,0,-0.75491426551729,-1.46301705515684,5,0.282
1,0,-1.33208373048533,-0.42811001049788,13,0.478
0,1,-1.60521294556217,-1.21229296541012,11,0.034
0,1,-0.528833055139235,0.341565638592521,5,0.272
0,1,-1.07727216450823,-0.542118511684604,14,0.416
0,1,-1.39979360769923,1.67718390284077,11,0.904
0,1,-1.2596854094058,-0.327031934065412,14,0.64
1,0,-0.791167949541933,-0.122825835812585,5,0.416
0,1,-1.32308845699999,-0.945957753094261,9,0.408
1,0,-0.982412914189672,0.0211434056583381,13,0.61
1,0,-1.05590157477532,-0.318516776300429,7,0.582
0,1,-0.686168575831167,0.410633029352941,9,0.404
0,1,-0.527906287159057,0.451474249003491,5,0.372
