name,initialValue,priorMean,priorSD
ab0,112.879076944172,0,10000
ab1,6.64424723020865,0,10000
ab2,40.9445068325295,0,10000
ab3,12.0589751337291,0,10000
ab4,9.20291501759293,0,10000
ab5,5.0816384504439,0,10000
ab6,15.7105700376695,0,10000
at0,67.7228165994839,0,10000
at1,2.20752326152474,0,10000
at2,-71.3953390750052,0,10000
at3,110.882163877832,0,10000
at4,74.7517673146772,0,10000
at5,117.377931277274,0,10000
at6,85.1889753550465,0,10000
bb0,-0.67112363212003,0,10000
bb1,1.03745214217079,0,10000
bb2,-4.15097165663426,0,10000
bb3,2.28553097961838,0,10000
bb4,-2.40286280962835,0,10000
bb5,-0.226198679474716,0,10000
bb6,1.45656682699904,0,10000
bt0,1.36715776422931,0,10000
bt1,-1.94403978016994,0,10000
bt2,-15.6672098238258,0,10000
bt3,-5.59768025392109,0,10000
bt4,9.15398903623836,0,10000
bt5,-2.56013360224305,0,10000
bt6,-0.134963273455508,0,10000
tt0,-1.12539753492,0,10000
tt1,-1.10864817001942,0,10000
tt2,-0.376550308879033,0,10000
tt3,-1.5634802669669,0,10000
tt4,2.19669996782252,0,10000
tt5,0.270657536639793,0,10000
tt6,-0.795272855874311,0,10000
t0,-4.937755604685,0,10000
t1,-0.489167135350648,0,10000
t2,-0.270506772542931,0,10000
t3,-0.473834888349877,0,10000
t4,0.291294753960998,0,10000
t5,-0.133392655266189,0,10000
t6,-0.0771370244427697,0,10000
e0,-3.75480700989488,0,10000
e1,0.412375632792682,0,10000
e2,-0.566389165274075,0,10000
e3,0.267770862393879,0,10000
e4,0.265812520885363,0,10000
e5,0.0484091350886554,0,10000
e6,-0.0290861255086233,0,10000
